seq,latency_h2h_ns
0,277026
1,162827
2,200293
3,422384
4,155372
5,106316
6,181449
7,296463
8,491820
9,429493
10,377201
11,402041
12,458992
13,518880
14,543406
15,517783
16,533023
17,558049
18,399936
19,399358
20,390584
21,307382
22,356702
23,416209
24,568615
25,509576
26,520721
27,543452
28,470442
29,384374
30,516018
31,338483
32,354225
33,562794
34,506392
35,534738
36,707970
37,571612
38,443642
39,478275
40,383190
41,373269
42,331493
43,347654
44,605856
45,476737
46,567304
47,801547
48,510236
49,426526
50,417073
51,330440
52,463915
53,441725
54,456550
55,519490
56,294784
57,323024
58,344967
59,414469
60,405660
61,284204
62,330474
63,392593
64,430831
65,274030
66,414771
67,499264
68,421090
69,422359
70,425035
71,394769
72,268662
73,303747
74,311594
75,421640
76,663962
77,463365
78,383625
79,364083
80,357245
81,350507
82,333291
83,451815
84,434310
85,460828
86,318956
87,449285
88,269738
89,297221
90,273968
91,427067
92,303576
93,276673
94,384675
95,457931
96,524167
97,557071
98,476888
99,495507
100,309573
101,461945
102,390325
103,319619
104,420238
105,529346
106,410403
107,467392
108,269958
109,270596
110,378709
111,286725
112,286509
113,453364
114,444599
115,417443
116,270577
117,293822
118,291316
119,408843
120,324834
121,308806
122,300772
123,436992
124,420429
125,420123
126,420683
127,267102
128,392191
129,268614
130,419131
131,419889
132,413143
133,421236
134,424694
135,421753
136,419976
137,424842
138,421964
139,410059
140,267343
141,272360
142,257790
143,445050
144,279573
145,304172
146,446312
147,297431
148,433480
149,482478
150,405371
151,407195
152,467923
153,535208
154,629460
155,443295
156,391272
157,356178
158,339847
159,331387
160,461647
161,301061
162,291853
163,467296
164,287816
165,436425
166,452609
167,289182
168,426811
169,430848
170,434289
171,308549
172,259370
173,434322
174,275954
175,270896
176,267217
177,401669
178,269215
179,274916
180,255787
181,432629
182,274840
183,373602
184,364325
185,589206
186,493534
187,462316
188,390692
189,312470
190,483606
191,327122
192,495318
193,344086
194,283957
195,327536
196,344412
197,469604
198,457469
199,556592
200,278153
201,263923
202,432837
203,287903
204,418237
205,441563
206,440253
207,434283
208,434224
209,290274
210,435198
211,270706
212,271767
213,419684
214,448827
215,406685
216,269894
217,411258
218,305739
219,294418
220,420375
221,453751
222,459125
223,365489
224,290646
225,301224
226,419014
227,384992
228,372104
229,388477
230,405617
231,317863
232,463828
233,484887
234,515573
235,292467
236,338375
237,284619
238,316501
239,263308
240,416432
241,451535
242,401604
243,294158
244,410062
245,466367
246,464108
247,288597
248,288023
249,298774
250,413342
251,400508
252,258040
253,409371
254,254759
255,423550
256,288612
257,281068
258,262226
259,253404
260,259517
261,287145
262,276918
263,402439
264,255398
265,260817
266,820721
267,748182
268,809916
269,701721
270,763431
271,781716
272,767771
273,698671
274,770938
275,745238
276,753962
277,792177
278,738711
279,715838
280,753330
281,776313
282,769532
283,772590
284,760181
285,756696
286,685596
287,686078
288,785500
289,789159
290,808073
291,720596
292,780227
293,715349
294,743505
295,740770
296,774974
297,781790
298,907436
299,960954
300,725566
301,785370
302,722156
303,1116054
304,509442
305,779439
306,536488
307,410422
308,163679
309,240499
310,340894
311,802457
312,524061
313,537021
314,684587
315,397723
316,383268
317,364454
318,356493
319,316806
320,387515
321,339224
322,138363
323,123604
324,188034
325,295467
326,360547
327,826331
328,527855
329,493853
330,443182
331,346928
332,483919
333,455468
334,362563
335,318899
336,467812
337,443543
338,432326
339,304203
340,397987
341,427887
342,379706
343,222025
344,332611
345,437600
346,509402
347,544772
348,682065
349,428376
350,563815
351,329358
352,310943
353,450588
354,460878
355,461581
356,343665
357,348897
358,464071
359,289275
360,271953
361,322532
362,323655
363,307203
364,431915
365,266395
366,306283
367,296340
368,425805
369,288974
370,328416
371,438589
372,435272
373,313494
374,441634
375,351002
376,327123
377,369593
378,507238
379,352948
380,291848
381,348964
382,269230
383,441385
384,278448
385,424321
386,434996
387,433623
388,413988
389,285415
390,258724
391,396443
392,442640
393,368502
394,296790
395,268998
396,413027
397,275446
398,256873
399,504889
400,315837
401,259762
402,289549
403,262689
404,427358
405,412129
406,411951
407,430479
408,432341
409,257462
410,395110
411,417562
412,425154
413,269597
414,391599
415,267241
416,257255
417,308712
418,332837
419,448163
420,421283
421,418637
422,265904
423,390192
424,416081
425,270258
426,255984
427,255341
428,385043
429,273913
430,269201
431,389008
432,221040
433,348020
434,558165
435,432607
436,366448
437,493862
438,498874
439,370807
440,304678
441,282087
442,272831
443,301939
444,446052
445,451633
446,447001
447,305719
448,286896
449,271251
450,269677
451,305456
452,296664
453,437555
454,439957
455,437690
456,423509
457,444692
458,447262
459,269469
460,304920
461,416247
462,410440
463,426990
464,443848
465,448001
466,427402
467,429193
468,423499
469,286694
470,282394
471,403691
472,428011
473,395469
474,423326
475,279421
476,257129
477,434087
478,434276
479,409649
480,403684
481,271489
482,978088
483,808603
484,789877
485,748057
486,718649
487,753829
488,779280
489,779297
490,803926
491,809479
492,721224
493,788213
494,781087
495,751149
496,778686
497,796343
498,757487
499,963931
500,726029
501,705823
502,756968
503,745582
504,792770
505,725939
506,785992
507,750249
508,769926
509,809879
510,812904
511,780514
512,785625
513,786418
514,830082
515,821607
516,788939
517,792900
518,787973
519,821601
520,767526
521,747006
522,802461
523,649045
524,570891
525,544383
526,546711
527,613150
528,440443
529,336990
530,339062
531,448701
532,459260
533,299757
534,433231
535,418243
536,459077
537,461806
538,360926
539,309655
540,421722
541,311756
542,401653
543,306077
544,305527
545,296125
546,423691
547,253799
548,269146
549,302636
550,319833
551,426296
552,414599
553,381294
554,506000
555,473848
556,484421
557,289561
558,337053
559,431667
560,404172
561,304997
562,296005
563,420438
564,307672
565,321040
566,437260
567,314773
568,255621
569,315124
570,299272
571,447774
572,465322
573,428505
574,444485
575,461292
576,400503
577,257707
578,410809
579,426252
580,280308
581,260443
582,403375
583,422405
584,423643
585,278182
586,280060
587,415285
588,441245
589,435261
590,454053
591,437280
592,418370
593,255007
594,552919
595,395208
596,520886
597,529717
598,522055
599,773281
600,388628
601,306992
602,440274
603,308913
604,358151
605,326807
606,437311
607,343255
608,422662
609,441871
610,452344
611,414499
612,453005
613,458134
614,446279
615,437612
616,434373
617,446320
618,288513
619,261383
620,299980
621,289201
622,430939
623,294943
624,304360
625,369671
626,301061
627,573257
628,409373
629,391807
630,393382
631,321779
632,477344
633,451094
634,444480
635,274304
636,276741
637,270936
638,421791
639,451946
640,292420
641,411492
642,378959
643,260953
644,368997
645,658896
646,388647
647,365713
648,342583
649,322602
650,416012
651,323550
652,313121
653,296148
654,441679
655,437013
656,353414
657,446489
658,298708
659,321580
660,420209
661,307410
662,305257
663,278348
664,426955
665,329489
666,281321
667,256821
668,349797
669,268372
670,421245
671,418128
672,267402
673,277969
674,368593
675,350653
676,326122
677,460644
678,303275
679,289940
680,296335
681,311853
682,434490
683,262448
684,309087
685,444675
686,311391
687,310448
688,444013
689,283642
690,330367
691,444881
692,311262
693,259298
694,298620
695,284403
696,419590
697,300077
698,311170
699,548754
700,292466
701,265125
702,412445
703,431004
704,433969
705,268254
706,280873
707,258495
708,420814
709,268264
710,391679
711,271253
712,281901
713,559294
714,748664
715,747640
716,786414
717,752337
718,717525
719,787640
720,745994
721,752971
722,780575
723,695030
724,752994
725,768975
726,740944
727,750032
728,732133
729,798199
730,726005
731,751387
732,754331
733,807431
734,789296
735,758265
736,769487
737,749122
738,700956
739,771327
740,792960
741,697128
742,757521
743,702037
744,819915
745,758699
746,713039
747,531722
748,539178
749,538547
750,887672
751,814303
752,763238
753,774652
754,756226
755,706806
756,769997
757,745691
