seq,latency_h2h_ns
0,1316256
1,1197139
2,1201087
3,1065445
4,1081340
5,1020935
6,877291
7,1047238
8,1030410
9,750203
10,1236273
11,1197117
12,1147564
13,1208030
14,723866
15,1056267
16,961108
17,1070254
18,1239913
19,1040764
20,1295796
21,861557
22,1398968
23,849017
24,1208081
25,1163456
26,1120996
27,1260502
28,1231610
29,1145594
30,1187240
31,1164369
32,1210958
33,1259831
34,1178265
35,1119524
36,1130440
37,813006
38,1240841
39,931079
40,1191544
41,956461
42,957159
43,1162919
44,1202230
45,751628
46,1210807
47,1215441
48,930129
49,830183
50,1243902
51,1208109
52,1196821
53,1211415
54,1206072
55,780503
56,1243291
57,839044
58,1108581
59,896974
60,1087928
61,1245112
62,1170531
63,1087882
64,1082012
65,675125
66,921534
67,1211143
68,1251520
69,1182118
70,1230295
71,1141152
72,1337569
73,1243435
74,1200260
75,825226
76,1157029
77,800838
78,1162102
79,1188017
80,1219947
81,1223351
82,1228015
83,1236220
84,1219847
85,828269
86,1191787
87,1256483
88,1270389
89,1071892
90,1246701
91,1060045
92,1217725
93,1239026
94,687380
95,1243597
96,1210686
97,789993
98,1256505
99,962400
100,1225314
101,923792
102,1180058
103,1157573
104,1118384
105,1088869
106,1172641
107,1192813
108,1030581
109,1134018
110,1059534
111,1076369
112,1241623
113,1135686
114,1079648
115,1214086
116,1177632
117,757818
118,1262858
119,1082728
120,1250561
121,1222394
122,1273551
123,1241416
124,1110789
125,962275
126,1219447
127,909170
128,1110250
129,1237823
130,1235224
131,965916
132,1224112
133,778534
134,1085562
135,952978
136,1239502
137,757667
138,1265188
139,1282991
140,1219163
141,1146451
142,1214132
143,1245120
144,1241952
145,1203788
146,1233525
147,1276705
148,1190465
149,1168154
150,1176408
151,1130729
152,1227552
153,1174562
154,1212990
155,1282653
156,1221302
157,845386
158,1220990
159,1226834
160,818821
161,1234122
162,1243442
163,956728
164,1168785
165,1179181
166,1142368
167,1243269
168,1017926
169,1156910
170,1263366
171,1249223
172,1340270
173,1222735
174,1222565
175,1221043
176,1242287
177,750032
178,1227350
179,1272077
180,1275596
181,1236334
182,1241724
183,975305
184,1177953
185,940674
186,1108168
187,1009228
188,1205733
189,1255137
190,1019934
191,1226832
192,1226674
193,1177698
194,989323
195,1100843
196,1236957
197,716700
198,856036
199,1277222
200,1154835
201,919333
202,1139763
203,1186543
204,1079336
205,1177377
206,1164693
207,1218832
208,855799
209,1112635
210,916641
211,1184211
212,1178960
213,1161215
214,1087611
215,1194345
216,1091191
217,811734
218,1102807
219,1047242
220,1215047
221,1222733
222,993329
223,754436
224,1227815
225,1256569
226,1200628
227,1220495
228,1213709
229,1058552
230,1177839
231,1174604
232,1182099
233,1202488
234,1185390
235,1070769
236,1175310
237,769558
238,1183929
239,1213413
240,1264620
241,1207234
242,1198836
243,1001459
244,1086414
245,1164624
246,1076496
247,1185395
248,1207605
249,1205251
250,878519
251,1179376
252,1183449
253,1163351
254,1052261
255,1006922
256,1226748
257,751683
258,832003
259,1170866
260,1171047
261,1163601
262,1197941
263,1220794
264,1266904
265,1186875
266,1116318
267,1131690
268,1070608
269,1131954
270,1246896
271,1229771
272,779201
273,884388
274,1003635
275,1227652
276,1106183
277,769003
278,1078257
279,1146515
280,1169437
281,868235
282,1124317
283,1213877
284,1142254
285,1147778
286,1178418
287,836644
288,968934
289,1119347
290,1191556
291,1200339
292,1254323
293,1152500
294,1108522
295,1176824
296,1233041
297,749353
298,1235094
299,1295645
300,1229886
301,1167562
302,1145723
303,1245215
304,1111001
305,1215997
306,1132276
307,1220936
308,1187793
309,1088996
310,1076460
311,1187073
312,1226264
313,1167729
314,1140598
315,1205344
316,1206127
317,780495
318,1138646
319,1260755
320,1203115
321,1152865
322,1138550
323,1191539
324,1133393
325,1212762
326,1216537
327,1152584
328,1255646
329,1201276
330,953653
331,1030041
332,1224766
333,1216003
334,1175183
335,1203376
336,942436
337,843203
338,1181797
339,969115
340,977724
341,1195667
342,1170052
343,1147204
344,1200847
345,1173286
346,1186239
347,1153355
348,1345841
349,1087975
350,1236702
351,1225553
352,1315788
353,1221232
354,1219125
355,1089550
356,1227257
357,826957
358,1182005
359,1192800
360,1147617
361,1139950
362,1150124
363,1227448
364,1096777
365,1208834
366,1172962
367,1273980
368,1290768
369,1119062
370,1294151
371,1186606
372,1263386
373,1204920
374,1160515
375,1176728
376,1181675
377,783108
378,826172
379,1178865
380,1173398
381,1053949
382,1218721
383,1093053
384,1131654
385,1196141
386,1244993
387,1246545
388,1185204
389,1181861
390,1378161
391,865174
392,1061389
393,965805
394,1204670
395,1238434
396,1209151
397,796986
398,1115423
399,1369784
400,1222176
401,835731
402,1268713
403,1224263
404,1090657
405,1221698
406,1052199
407,1319107
408,1060161
409,1181475
410,1054551
411,1087489
412,1225712
413,1202201
414,943357
415,1271966
416,1180707
417,760789
418,1177751
419,1192902
420,1265613
421,1083092
422,1182098
423,1063775
424,964708
425,935374
426,1201157
427,1096652
428,1232111
429,1188114
430,1189189
431,1230261
432,1259361
433,1178387
434,1173675
435,1277973
436,1126436
437,863506
438,1211824
439,1096006
440,1191309
441,957317
442,1203307
443,1259954
444,1065138
445,1201368
446,1138613
447,1234268
448,1205040
449,1134989
450,1169379
451,1261920
452,1211250
453,1156328
454,924010
455,1167024
456,1240128
457,1105621
458,1059141
459,1212873
460,1103141
461,1214871
462,1292662
463,1215368
464,828523
465,1230845
466,1176176
467,1313559
468,1090862
469,893806
470,1112011
471,937615
472,1152651
473,868475
474,1214407
475,975774
476,1087617
477,834916
478,1098285
479,1067159
480,1205220
481,1198969
482,1328631
483,1131972
484,1207912
485,1218530
486,1267241
487,1179969
488,1079907
489,949492
490,821430
491,854251
492,1239313
493,1170241
494,1054974
495,990022
496,1140761
497,829180
498,770053
499,1377226
500,1200872
501,1224961
502,1254242
503,924570
504,1188254
505,922400
506,796583
507,1236247
508,1241755
509,1223756
510,837603
511,1027379
512,1146916
513,1151745
514,1157157
515,1196409
516,835232
517,745195
518,793185
519,1134338
520,1238772
521,1209584
522,1254576
523,1234642
524,1247955
525,1196791
526,1123730
527,947967
528,1144123
529,1267557
530,1084332
531,1169807
532,766689
533,1058734
534,1205630
535,1189353
536,1255799
537,754756
538,885663
539,1186778
540,1257277
541,1154409
542,1257381
543,862999
544,1093683
545,1237128
546,1183004
547,1195109
548,1238717
549,1042240
550,1177618
551,1273348
552,1291586
553,1173843
554,850246
555,1106666
556,1190875
557,752917
558,999447
559,1082379
560,991264
561,967607
562,1184688
563,889050
564,990317
565,1155441
566,1079411
567,1257724
568,1288892
569,1114006
570,1082342
571,972884
572,1145031
573,1003319
574,1088378
575,1162135
576,1067435
577,747429
578,1134753
579,1246680
580,1209491
581,946740
582,1228318
583,1145780
584,1064781
585,1218885
586,1170970
587,964368
588,960207
589,1098880
590,1071981
591,1136719
592,1177138
593,1262175
594,1196598
595,1181451
596,1013359
597,744694
598,1167680
599,1188428
600,1191521
601,757442
602,1249689
603,925306
604,1193142
605,1250699
606,1222191
607,1201011
608,1184459
609,867457
610,918309
611,1181956
612,1046111
613,943467
614,1075092
615,1209752
616,957287
617,767519
618,959224
619,943594
620,1204712
621,980864
622,1073959
623,1202120
624,1168037
625,1184058
626,859771
627,1118432
628,1146583
629,1078553
630,950058
631,1070774
632,1038431
633,799256
634,1086182
635,1211358
636,1117159
637,772821
638,1157443
639,1148679
640,1081557
641,748456
642,1230484
643,1170591
644,915496
645,1215679
646,838466
647,834216
648,930846
649,1189440
650,783170
651,798403
652,1205269
653,1195963
654,1089560
655,1145529
656,1114604
657,764288
658,831996
659,1159257
660,1242258
661,1165404
662,1118906
663,808984
664,1134934
665,1126170
666,1254631
667,1141151
668,1091779
669,1056030
670,736775
671,1172550
672,1079122
673,1047445
674,1221133
675,1240348
676,1075354
677,1110207
678,750898
679,1219396
680,1214277
681,751632
682,1206658
683,1142555
684,1206714
685,1160838
686,1141076
687,1120182
688,1127779
689,1182981
690,802092
691,750643
692,1236154
693,869492
694,1016122
695,1160424
696,1174052
697,838166
698,787105
699,1493307
700,1169267
701,1117022
702,1023993
703,991363
704,1148568
705,1177574
706,801616
707,1071025
708,810488
709,987581
710,1041753
711,1033818
712,1128890
713,1153454
714,1110304
715,1156123
716,1155780
717,808610
718,1233317
719,1055442
720,1217921
721,1180510
722,1158335
723,1164566
724,798892
725,1224087
726,1189970
727,1221193
728,1127699
729,1016343
730,1264262
731,1127693
732,1146982
733,1146852
734,793413
735,1085859
736,862284
737,724380
738,910732
739,1218562
740,925507
741,1104180
742,1083080
743,1132662
744,832659
745,1174452
746,766303
747,1184057
748,1137872
749,1118473
750,1167897
751,1003180
752,1225615
753,818047
754,1066391
755,1257710
756,1058447
757,741548
758,1156210
759,926416
760,1102827
761,1112954
762,1170362
763,1148684
764,877485
765,1069074
766,745553
767,1264010
768,1167505
769,842418
770,1216214
771,1070826
772,1182931
773,1173848
774,932579
775,1172281
776,967864
777,809382
778,1161694
779,1121719
780,1228891
781,1222218
782,1174489
783,959631
784,834066
785,1172807
786,1162950
787,1133933
788,1206762
789,1200381
790,1093981
791,1117662
792,1178178
793,1145308
794,1215674
795,1174531
796,942489
797,774595
798,835351
799,1417663
800,1146160
801,1139055
802,982667
803,1179552
804,1243750
805,1199049
806,1195219
807,1131086
808,1153989
809,1079571
810,1169568
811,1135991
812,978610
813,835033
814,1123455
815,1023709
816,1068900
817,723137
818,1165522
819,896217
820,1159974
821,1084733
822,1173703
823,825908
824,1206513
825,1152885
826,1143928
827,852880
828,980563
829,1192872
830,1180070
831,1217690
832,948795
833,948064
834,851247
835,1246074
836,1177962
837,775159
838,1266984
839,1151078
840,1207621
841,1204644
842,1193608
843,913314
844,1226790
845,1142313
846,1231067
847,1230020
848,1211338
849,1114034
850,1270963
851,1105647
852,1250623
853,1218202
854,1063977
855,1160384
856,1210489
857,778775
858,977933
859,1087493
860,1252635
861,1215134
862,1014864
863,1196223
864,1147202
865,1219804
866,1143821
867,1200073
868,1217161
869,874745
870,1156458
871,1220895
872,845780
873,1150009
874,1067585
875,1202614
876,1177604
877,811752
878,1304247
879,1023976
880,1228359
881,1212773
882,1106149
883,1224078
884,1079582
885,1226091
886,1174619
887,1246224
888,1191924
889,1188140
890,1285342
891,1011599
892,1223607
893,1185723
894,920172
895,1192602
896,1196632
897,806914
898,955513
899,1346686
900,1192533
901,1192164
902,1019361
903,998384
904,963541
905,1195922
906,1244698
907,1232247
908,1237865
909,1239951
910,938257
911,1179751
912,1221882
913,1170570
914,957503
915,1227615
916,1046209
917,849356
918,1049368
919,1189752
920,1244128
921,1267461
922,1092695
923,1114567
924,1056562
925,1248895
926,1077534
927,1225590
928,1175073
929,1097514
930,1231285
931,1268851
932,935207
933,1168828
934,1181366
935,1126564
936,1180214
937,856149
938,1170132
939,916695
940,1270329
941,999781
942,1258354
943,1165603
944,1208435
945,1217781
946,1251833
947,1232137
948,1248771
949,1126227
950,1237840
951,1150486
952,1263283
953,1075726
954,1070129
955,1162181
956,1180655
957,824786
958,1252535
959,1199029
960,1144640
961,1219807
962,1238950
963,1003176
964,1199018
965,1129200
966,1052540
967,1296641
968,1035550
969,1186166
970,1187127
971,1184941
972,1282255
973,937566
974,1100709
975,977834
976,1196892
977,819966
978,952898
979,1175492
980,1259301
981,1266528
982,1216531
983,1077291
984,1213517
985,1223714
986,1173602
987,1194414
988,1111058
989,1279378
990,1199694
991,1244033
992,970684
993,1157396
994,1007690
995,1215274
996,1225214
997,1004193
998,883657
999,1457542
1000,1224397
1001,1234806
1002,1282727
1003,1198571
1004,1214741
1005,1194248
1006,1143450
1007,1241828
1008,852313
1009,1268237
1010,962050
1011,1263859
1012,1132006
1013,1222642
1014,1270620
1015,1245892
1016,997043
1017,825061
1018,1143122
1019,1088085
1020,1180531
1021,1247633
1022,1227599
1023,1146571
1024,1117761
1025,1248196
1026,991865
1027,1268814
1028,1216397
1029,1137330
1030,1267185
1031,1231553
1032,1310769
1033,1098568
1034,1093936
1035,1225864
1036,1080714
1037,1048667
1038,1029001
1039,822022
1040,1242365
1041,1268066
1042,1257084
1043,1173616
1044,1109185
1045,1271141
1046,1253725
1047,1176062
1048,1058031
1049,965903
1050,1147697
1051,1256135
1052,1078969
1053,1005715
1054,1188865
1055,1181247
1056,1196976
1057,716256
1058,1070408
1059,1184514
1060,1025848
1061,1240666
1062,1168668
1063,1252113
1064,1225737
1065,1090807
1066,1197486
1067,1188692
1068,1030606
1069,1187876
1070,1169500
1071,1196433
1072,1234390
1073,1096612
1074,1076409
1075,1307971
1076,1003944
1077,749448
1078,1126128
1079,1077448
1080,1226169
1081,1137415
1082,1206979
1083,1061838
1084,1176061
1085,1229522
1086,934958
1087,1285803
1088,1250690
1089,1195258
1090,1248088
1091,1214686
1092,1199762
1093,1239202
1094,1034271
1095,1202736
1096,1247629
1097,777285
1098,767479
1099,1311934
1100,1130515
1101,1135293
1102,1127815
1103,1256140
1104,1294851
1105,1224967
1106,1190724
1107,1238024
1108,1063316
1109,767531
1110,1303154
1111,1118620
1112,1178040
1113,1066898
1114,983138
1115,1208799
1116,1249382
1117,776950
1118,877773
1119,1204257
1120,1100528
1121,1256867
1122,1212004
1123,683051
1124,1119476
1125,1240886
1126,1244942
1127,1251318
1128,1009127
1129,1031875
1130,1175151
1131,819239
1132,1137382
1133,751263
1134,1215680
1135,1113980
1136,1061749
1137,759093
1138,938245
1139,1095843
1140,1231096
1141,1021682
1142,1204604
1143,975284
1144,1198309
1145,1229641
1146,852551
1147,1211714
1148,1186170
1149,1069973
1150,1198835
