seq,latency_m2m_ns,callback_jitter,publish_jitter
519,14580000,13975000,284000
520,14619000,14039000,296000
521,14588000,13969000,292000
522,14615000,14027000,293000
523,14596000,13981000,288000
524,15600000,15009000,292000
525,14596000,13988000,292000
526,14596000,14007000,288000
527,15592000,14989000,293000
528,15592000,15004000,281000
529,15580000,14984000,281000
530,15596000,15019000,284000
531,15588000,14989000,281000
532,15580000,15003000,276000
533,15588000,14997000,289000
534,15599000,15015000,288000
535,14592000,13989000,289000
536,15584000,15000000,281000
537,15592000,14996000,285000
538,15580000,15000000,273000
539,15588000,15000000,288000
540,14596000,14012000,284000
541,14568000,13968000,273000
542,15604000,15036000,288000
543,15575000,14972000,280000
544,15623000,15046000,296000
545,15588000,14969000,292000
546,15596000,15009000,281000
547,14572000,13975000,276000
548,15596000,15025000,281000
549,15584000,14987000,288000
550,15619000,15035000,297000
551,15580000,14961000,284000
552,15600000,15021000,288000
553,13910000,13307000,278000
554,15267000,14693000,284000
555,15571000,14972000,280000
556,15608000,15032000,289000
557,15580000,14975000,284000
558,15623000,15044000,300000
559,15584000,14960000,288000
560,15604000,15021000,289000
561,15576000,14971000,280000
562,15600000,15025000,288000
563,15584000,14979000,280000
564,15611000,15035000,293000
565,15576000,14962000,280000
566,15604000,15028000,288000
567,15568000,14963000,272000
568,15615000,15047000,293000
569,15576000,14961000,280000
570,15600000,15025000,289000
571,15584000,14979000,284000
572,15592000,15013000,281000
573,15572000,14975000,276000
574,15623000,15051000,297000
575,15568000,14950000,272000
576,15623000,15055000,300000
577,15580000,14956000,284000
578,15604000,15025000,288000
579,15564000,14960000,273000
580,15619000,15050000,293000
581,15584000,14969000,288000
582,14596000,14013000,284000
583,15579000,14980000,280000
584,15600000,15024000,289000
585,15584000,14979000,284000
586,15588000,15009000,276000
587,15572000,14980000,276000
588,15608000,15036000,293000
589,15584000,14976000,284000
590,15592000,15012000,280000
591,15555000,14960000,265000
592,15604000,15044000,281000
593,15560000,14964000,273000
594,15608000,15040000,285000
595,15560000,14960000,265000
596,15604000,15044000,289000
597,15584000,14979000,288000
598,15600000,15017000,285000
599,15572000,14971000,276000
600,14596000,14025000,288000
601,15588000,14984000,281000
602,15588000,15012000,280000
603,15580000,14984000,281000
604,15615000,15038000,296000
605,15596000,14978000,292000
606,15615000,15026000,284000
607,15560000,14946000,272000
608,15608000,15039000,292000
609,15584000,14977000,281000
610,15600000,15023000,292000
611,15584000,14977000,281000
612,15584000,15007000,276000
613,15592000,15001000,281000
614,15600000,15016000,292000
615,15572000,14964000,273000
616,15604000,15036000,292000
617,15588000,14980000,285000
618,15576000,14996000,276000
