seq,latency_m2m_ns,callback_jitter,publish_jitter
76,11590000,99007000,9772000
77,12573000,100982000,10189000
78,12584000,100012000,10399000
79,12597000,100013000,10755000
80,12580000,99983000,10686000
81,12649000,100069000,10833000
82,12572000,99923000,10277000
83,12580000,100008000,10356000
84,12572000,99992000,10423000
85,13592000,101020000,10850000
86,12591000,98998000,10369000
87,12584000,99994000,10308000
88,12584000,100000000,10662000
89,12598000,100014000,10670000
90,12592000,99994000,10603000
91,13672000,101080000,11024000
92,12584000,98912000,10696000
93,12576000,99992000,10271000
94,12572000,99996000,10825000
95,12584000,100012000,10705000
96,13588000,101004000,10853000
97,12580000,98992000,10366000
98,12584000,100004000,10718000
99,12591000,100007000,10794000
100,13585000,100993000,10925000
101,13645000,100060000,10871000
102,13595000,99950000,10940000
103,12580000,98986000,10529000
104,12588000,100008000,10260000
105,12576000,99988000,10760000
106,12581000,100005000,10759000
107,12576000,99995000,10692000
108,12668000,100092000,10347000
109,12573000,99905000,10645000
110,12581000,100007000,10637000
111,12652000,100072000,10433000
112,12580000,99928000,10793000
113,13576000,100996000,10995000
114,12576000,99000000,10314000
115,13672000,101095000,10889000
116,12661000,98990000,10811000
117,13576000,100915000,10959000
118,12577000,99001000,10467000
119,12588000,100011000,10480000
120,12588000,100000000,10628000
121,12665000,100077000,10568000
122,12584000,99919000,10419000
123,12581000,99996000,10290000
124,12584000,100004000,10434000
125,12585000,100000000,10379000
126,12592000,100008000,10727000
127,12585000,99992000,10385000
128,12587000,100002000,10321000
129,12581000,99994000,10751000
130,12592000,100012000,10748000
131,12664000,100071000,10762000
132,12580000,99917000,10751000
133,12584000,100004000,10413000
134,12580000,99996000,10280000
135,12581000,100000000,10424000
136,12585000,100004000,10781000
137,12573000,99988000,10653000
138,12577000,100004000,10731000
139,13584000,101008000,10863000
140,12573000,98988000,10801000
141,12668000,100095000,10807000
142,12584000,99917000,10323000
143,12584000,100000000,10332000
144,12595000,100010000,10403000
145,12584000,99990000,10270000
146,12584000,100000000,10202000
147,12580000,99996000,10284000
148,22997000,110416000,10897000
149,12589000,89588000,10434000
150,12584000,100000000,10293000
151,12665000,100080000,10450000
152,12584000,99920000,10312000
153,12572000,99988000,10309000
154,12595000,100022000,10318000
155,12592000,99998000,10320000
156,12584000,99992000,10464000
157,12595000,100010000,10343000
158,12580000,99986000,10267000
159,12584000,100004000,10284000
160,12600000,100016000,10777000
161,12612000,100007000,10713000
162,12596000,99989000,10569000
163,12589000,99992000,10721000
164,12588000,100000000,10377000
165,12584000,99996000,10806000
166,13581000,100997000,10867000
167,13592000,100011000,11225000
168,13597000,100004000,10880000
169,12592000,98996000,10615000
170,13607000,101014000,10962000
171,12592000,98982000,10636000
172,12588000,99996000,10636000
173,12583000,99994000,10640000
174,12588000,100006000,10720000
175,12584000,99996000,10297000
176,12584000,100000000,10511000
177,12588000,100004000,10381000
178,12584000,99996000,10521000
179,12584000,100000000,10531000
180,12584000,100000000,10329000
181,12588000,100004000,10399000
182,12588000,100000000,10469000
183,12598000,100010000,10071000
184,11917000,99319000,10833000
185,12580000,100663000,10838000
186,12594000,100014000,10573000
187,12593000,99998000,10790000
188,12592000,100000000,10645000
189,12584000,99992000,10661000
190,13580000,100996000,10865000
191,12584000,99004000,10823000
192,12576000,99992000,10816000
193,12593000,100016000,10767000
194,12580000,99988000,10690000
195,12588000,100008000,10702000
196,13599000,101010000,10840000
197,12593000,98994000,10712000
198,12592000,100000000,10711000
199,13583000,100990000,10849000
200,13568000,99986000,10846000
201,13580000,100012000,10863000
202,12572000,98992000,10666000
203,13585000,101013000,10874000
204,12592000,99007000,10322000
205,12564000,99972000,10606000
206,12581000,100016000,10469000
207,12585000,100004000,10689000
208,12584000,100000000,10759000
209,12569000,99984000,10277000
210,12577000,100009000,10632000
211,12577000,100000000,10573000
212,13579000,101002000,10917000
213,12577000,98998000,10098000
214,12588000,100011000,10365000
215,12593000,100004000,10517000
216,12584000,99992000,10375000
217,12577000,99993000,10602000
218,12581000,100004000,10317000
219,12576000,99995000,10409000
220,12592000,100016000,10332000
221,12592000,100000000,10272000
222,12583000,99991000,10204000
223,12588000,100005000,10283000
224,12580000,99992000,10492000
225,12595000,100014000,10502000
226,12596000,100002000,10368000
227,12580000,99984000,10447000
228,12573000,99992000,10436000
229,12576000,100004000,10180000
230,12584000,100008000,10602000
231,12573000,99989000,10534000
232,12588000,100015000,10748000
233,12588000,100000000,10194000
234,12572000,99984000,10821000
235,12588000,100016000,10644000
236,12588000,100000000,10565000
237,12589000,100000000,10571000
238,12595000,100006000,10780000
239,12577000,99983000,10581000
240,12577000,99999000,10726000
241,12584000,100008000,10237000
242,12581000,99997000,10586000
243,12585000,100003000,10121000
244,12584000,100000000,10538000
245,12589000,100004000,10471000
246,12573000,99985000,10690000
247,12580000,100007000,10694000
248,12577000,99997000,10562000
249,12588000,100011000,10565000
250,12669000,100080000,10641000
251,12011000,99346000,10844000
252,13576000,101566000,10917000
253,12576000,99000000,10653000
254,12591000,100014000,10800000
255,12584000,99994000,10802000
256,12580000,99996000,10742000
257,12580000,100000000,10254000
258,12584000,100004000,10325000
259,12584000,100000000,10759000
260,12573000,99988000,10823000
261,12664000,100092000,10776000
262,12572000,99908000,10760000
263,12580000,100008000,10150000
264,12586000,100006000,10641000
265,12565000,99978000,10653000
266,12561000,99997000,10649000
267,12598000,100037000,10733000
268,12572000,99974000,10661000
269,12580000,100008000,10812000
270,12553000,99973000,10455000
271,12649000,100095000,10464000
272,12576000,99928000,10466000
273,12584000,100008000,10147000
274,12581000,99996000,10351000
275,12576000,99996000,10560000
276,12580000,100004000,10569000
277,12587000,100006000,10435000
278,12664000,100078000,10433000
279,12584000,99920000,10303000
280,12587000,100002000,10366000
281,12657000,100071000,10453000
282,12584000,99927000,10598000
283,12584000,100000000,10255000
284,12580000,99996000,10187000
285,12576000,99996000,10336000
286,12585000,100008000,10550000
287,12585000,100001000,10412000
288,12588000,100003000,10348000
289,12569000,99981000,10353000
290,12573000,100003000,10437000
291,12656000,100084000,10434000
292,12584000,99928000,10439000
293,12584000,100000000,10375000
294,12576000,99992000,10523000
295,12588000,100012000,10251000
296,12599000,100010000,10465000
297,12580000,99982000,10478000
298,12584000,100004000,10267000
299,12569000,99985000,10203000
300,12573000,100003000,10270000
301,12661000,100088000,10422000
302,12569000,99908000,10281000
303,12584000,100016000,10026000
304,12569000,99984000,10222000
305,12581000,100012000,10239000
306,12585000,100005000,10164000
307,12584000,99999000,10246000
308,12576000,99992000,10317000
309,12591000,100014000,10188000
310,12584000,99994000,10255000
311,12664000,100080000,10272000
312,12584000,99920000,10135000
313,12597000,100012000,10272000
314,12580000,99984000,10211000
315,12576000,99996000,10216000
316,12584000,100008000,10230000
317,12572000,99988000,10300000
318,12572000,100000000,10298000
319,12579000,100007000,10250000
320,12580000,100001000,10525000
321,12664000,100084000,10669000
322,12587000,99922000,10389000
323,12576000,99990000,10198000
324,12576000,100000000,10277000
325,12577000,100000000,10139000
326,12565000,99988000,10214000
327,12573000,100008000,10212000
328,12585000,100013000,10149000
329,12584000,99999000,10598000
330,12589000,100004000,10793000
331,12661000,100072000,10727000
332,12587000,99926000,10516000
333,12581000,99994000,10522000
334,13576000,100996000,10888000
335,12596000,99020000,10677000
336,12584000,99988000,10399000
337,12573000,99988000,10556000
338,12565000,99992000,10759000
339,12569000,100005000,10419000
340,12585000,100015000,10706000
341,12650000,100065000,10712000
342,12585000,99935000,10717000
343,12573000,99988000,10094000
344,12572000,100000000,10511000
345,12585000,100013000,10669000
346,12581000,99996000,10800000
347,13580000,100999000,10888000
348,12583000,99002000,10812000
349,12584000,100002000,10620000
350,12580000,99996000,10620000
351,12660000,100080000,10833000
352,12585000,99925000,10701000
353,11897000,99312000,10839000
354,13593000,101695000,10840000
355,12580000,98988000,10577000
356,12580000,100000000,10653000
357,12585000,100005000,10304000
358,12577000,99991000,10669000
359,12576000,100000000,10744000
360,12576000,100000000,10745000
361,13656000,101079000,11793000
362,12568000,98913000,10822000
363,12584000,100016000,10067000
364,12591000,100006000,10555000
365,12569000,99979000,10771000
366,11917000,99348000,10836000
367,12584000,100667000,10573000
368,13565000,100981000,10847000
369,12580000,99015000,10585000
370,12573000,99992000,10726000
371,12665000,100093000,10812000
372,13748000,101083000,10870000
373,12576000,98828000,10529000
374,12575000,99999000,10547000
375,12577000,100001000,10760000
376,12564000,99988000,10616000
377,13587000,101022000,11454000
378,12588000,99002000,10632000
379,12569000,99981000,10632000
380,12580000,100011000,10780000
