seq,rtt_h2m_ns
0,347095497
1,14243708
2,9851101
3,10567569
4,10403069
5,9685339
6,9758736
7,10847850
8,9604854
9,9803029
10,9776109
11,9584891
12,9769197
13,9860211
14,9608596
15,9612621
16,9473033
17,9575045
18,9789265
19,9509205
20,9625526
21,9611728
22,9787510
23,9521742
24,11189542
25,9830601
26,10404785
27,9657889
28,9072610
29,9295778
30,9871904
31,9821126
32,9579372
33,9755102
34,9618219
35,10669834
36,11181895
37,9477235
38,9468973
39,9533457
40,11175591
41,9502027
42,9759533
43,9478220
44,11428037
45,10453327
46,9716187
47,9238551
48,11248727
49,9562719
50,9658549
51,11506994
52,10140282
53,10204472
54,11139307
55,9186494
56,9516621
57,9449169
58,10579111
59,9936980
60,10455280
61,9924882
62,9637616
63,9808519
64,9431257
65,10111923
66,10417854
67,9692369
68,9463901
69,9443659
70,9796161
71,9602641
72,9464214
73,10428865
74,9610024
75,9378252
76,9183822
77,11436926
78,9454805
79,9958367
80,9294054
81,9880988
82,9440648
83,11303692
84,10006316
85,11078878
86,9537657
87,9855675
88,9590457
89,9584604
90,9546780
91,9314157
92,9496673
93,9729488
94,9517227
95,9789034
96,9605487
97,9622629
98,9464693
99,9505915
100,9501999
101,9777888
102,9630076
103,9572583
104,9598841
105,9604543
106,9780894
107,10808303
108,10762024
109,11773858
110,10173423
111,9847426
112,10686842
113,9722166
114,9508747
115,9493133
116,9429799
117,9725417
118,9596868
119,9609940
120,10199365
121,9707340
122,9847704
123,9608299
124,9708448
125,10654382
126,10436130
127,9481658
128,9384949
129,9715076
130,9739450
131,9750809
132,9669680
133,9722246
134,9930640
135,9828670
136,9596208
137,9744970
138,9518383
139,9601842
140,9881920
141,9690365
142,9569344
143,9696044
144,9530721
145,9900515
146,9859497
147,9714364
148,9709632
149,9667288
150,10653294
151,9625977
152,9566466
153,9735003
154,9457615
155,9781103
156,9557903
157,9657860
158,9622552
159,9902926
160,9817566
161,9832184
162,9335473
163,9546437
164,11282891
165,9648187
166,9864897
167,9636995
168,9689027
169,9633394
170,9937241
171,9780224
172,9793286
173,9818653
174,9796951
175,9759115
176,9613478
177,9558175
178,9476954
179,9668483
180,9736475
181,9629029
182,9668987
183,10080653
184,9937399
185,9620059
186,9746765
187,9643572
188,9736933
189,9726698
190,9410826
191,9924358
192,9270387
193,11027142
194,9521747
195,9591791
196,9596857
197,10433851
198,9506001
199,9795945
200,9740959
201,9812416
202,9718209
203,9734562
204,9710446
205,10601845
206,10546487
207,10576102
208,9539220
209,10666474
210,9475825
211,9528099
212,9327724
213,9497029
214,9568116
215,9615460
216,9470944
217,9571318
218,10630261
219,9504586
220,11661008
221,9908129
222,9460162
223,10497668
224,9774676
225,9694258
226,9334275
227,9635197
228,10473564
229,9921540
230,10728364
231,10478834
232,11040751
233,9680673
234,10641606
235,9839352
236,10488285
237,10875545
238,10553490
239,10619866
240,9517240
241,9825862
242,9478745
243,10341770
244,10550590
245,9720589
246,10549669
247,11013608
248,9587512
249,10352565
250,10386459
251,9471789
252,9247266
253,10021094
254,10396186
255,10299638
256,10377450
257,10217626
258,10354104
259,10813351
260,10043124
261,10339302
262,10547887
263,10685450
264,10440270
265,10445976
266,10302161
267,10484498
268,9939886
269,10395419
270,9999069
271,10162757
272,10495101
273,10644635
274,10519060
275,10579727
276,10673068
277,10540260
278,10450318
279,9041884
280,10495224
281,10482792
282,9473541
283,10688109
284,9769728
285,10558444
286,9703528
287,10585758
288,10442157
289,9742901
290,10590304
291,10689383
292,10709966
293,10463768
294,10390660
295,9742315
296,10707959
297,10483885
298,10086768
299,10381278
300,10145312
301,10469122
302,10264442
303,9628382
304,10221952
305,10452097
306,10221276
307,10216589
308,10350117
309,9906225
310,10347747
311,10160383
312,10703643
313,10595416
314,10391001
315,10802969
316,10142761
317,10066273
318,10336234
319,9941871
320,9804019
321,10300986
322,9804225
323,10470695
324,10402019
325,10412534
326,10263739
327,10073605
328,10297121
329,9962469
330,9486111
331,10344239
332,10229732
333,10177240
334,9527079
335,10745015
336,10520118
337,10649432
338,10252880
339,10424360
340,10392033
341,9979263
342,10508415
343,10523264
344,10001932
345,10435294
346,10416371
347,10594561
348,10518828
349,10390893
350,10041495
351,10195349
352,10522324
353,10470606
354,10434637
355,10599276
356,10502475
357,10396492
358,9954008
359,9816573
360,10381530
361,10394651
362,9744090
363,10581971
364,10515173
365,10577341
366,9973903
367,10460029
368,10722578
369,10497806
370,10094725
371,10457447
372,9072046
373,10474106
374,10286655
375,10444538
376,10187296
377,10565456
378,10495083
379,10680666
380,10139995
381,10473448
382,10189903
383,10419975
384,10261382
385,10752696
386,10241156
387,10596073
388,10180722
389,10210985
390,9774877
391,10413436
392,10526849
393,10508304
394,9256713
395,10010463
396,10474479
397,10517544
398,10456906
399,9817515
400,10460009
401,9319722
402,10350658
403,9700886
404,10447051
405,10542848
406,10173479
407,10503442
408,10565704
409,10547780
410,10411548
411,10644828
412,10473827
413,10556138
414,10453577
415,10281605
416,10147949
417,10525133
418,10550088
419,9787173
420,10016576
421,10587138
422,9782097
423,10455402
424,10579634
425,10542348
426,9541495
427,10236879
428,10568198
429,10514047
430,9688766
431,11092271
432,10466184
433,10411436
434,9536553
435,9345729
436,10571570
437,10512816
438,10458918
439,10380584
440,9614025
441,10402217
442,10466538
443,10528034
444,9653443
445,10475250
446,10619522
447,9746042
448,10230074
449,10374901
450,10173195
451,10587633
452,9674203
453,10164446
454,10238057
455,10523033
456,10511199
457,10478148
458,10245016
459,8322414
460,9580373
461,10521010
462,10009382
463,10444116
464,10399768
465,10474948
466,10203124
467,10509555
468,10477796
469,10281813
470,10092047
471,9719973
472,10458555
473,10240301
474,10272398
475,9932413
476,10638542
477,10445923
478,10526250
479,9704107
480,10460181
481,10084899
482,10290777
483,9674263
484,10634296
485,10413759
486,9892597
487,10387242
488,10457679
489,10745449
490,10224830
491,9797517
492,10515768
493,10373494
494,10584514
495,10170424
496,10481126
497,10533847
498,10281075
499,9492670
500,10524556
501,10550173
502,10517688
503,10578868
504,10109233
505,10503847
506,10265846
507,10641536
508,10553251
509,10386272
510,10527318
511,10559834
512,9638199
513,10489034
514,9688142
515,9837091
516,10133128
517,10590298
518,10382505
519,9161827
520,10015975
521,9738060
522,9216874
523,10448116
524,9907276
525,10454622
526,9964577
527,9707803
528,10322936
529,10052269
530,10108063
531,10599646
532,10509901
533,10236229
534,10027708
535,10552952
536,10371277
537,10542835
538,10368638
539,10174229
540,10530377
541,9647044
542,10503207
543,10500199
544,9672327
545,10012135
546,10497673
547,9271398
548,10528200
549,10537298
550,10142536
551,9794381
552,10170266
553,9314958
554,10358590
555,9769127
556,10467106
557,9703127
558,10489858
559,9306368
560,10258828
561,9454617
562,8971829
563,10592556
564,10151495
565,9656670
566,10352039
567,9955472
568,10109929
569,9967179
570,10208580
571,9697315
572,10234738
573,10274272
574,10273415
575,10503015
576,10192086
577,9632125
578,10277088
579,10325955
580,9900156
581,9994668
582,8779179
583,10375186
584,9595086
585,10450268
586,10336314
587,10482913
588,9522283
589,10394088
590,10180716
591,10524021
592,10466644
593,9380962
594,10174987
595,9921337
596,10442217
597,9686147
598,10036406
599,10284090
600,10520940
601,9674499
602,10541644
603,10151079
604,10136803
605,10573010
606,9599188
607,10519806
608,10433692
609,9882015
610,10287756
611,9799854
612,10392479
613,9954104
614,10203315
615,10036154
616,10430198
617,10519180
618,9688944
619,10524954
620,10537868
621,10537195
622,10191518
623,10601264
624,10469732
625,9771404
626,10318905
627,10542478
628,10140760
629,9627549
630,10400387
631,10501447
632,10402292
633,10468932
634,9608199
635,10197957
636,10559625
637,10654006
638,10526805
639,10332507
640,10492332
641,9672539
