seq,rtt_h2m_ns
0,519608157
1,31037240
2,10995323
3,10749482
4,11573030
5,10174417
6,10560938
7,11262604
8,10823167
9,11293505
10,11442493
11,11144400
12,11129072
13,10960842
14,10242326
15,10322747
16,10928568
17,11380848
18,10940074
19,11117955
20,11346365
21,11362830
22,11329402
23,11023305
24,11326614
25,10362420
26,11217450
27,11090503
28,11214161
29,11387211
30,11007157
31,11313703
32,11149872
33,10778266
34,10559184
35,10943570
36,11452243
37,11248015
38,11117341
39,11168756
40,11282402
41,11395135
42,11056953
43,10565621
44,11335219
45,11201234
46,11523764
47,10865547
48,10895532
49,10794958
50,10706973
51,10756355
52,11606128
53,11108688
54,11189261
55,10942106
56,10433039
57,11186538
58,11120623
59,11201927
60,11274922
61,11198843
62,10824204
63,10711620
64,11164901
65,11223557
66,11178664
67,11115189
68,11061172
69,11290461
70,10628074
71,11458436
72,11542742
73,11180174
74,11314739
75,11180001
76,11490814
77,11236981
78,11221819
79,11287955
80,11556468
81,11165501
82,11181902
83,12029032
84,11120661
85,13245114
86,13112355
87,12284146
88,12102228
89,13028461
90,13176184
91,13029200
92,13101553
93,13054587
94,13058455
95,12193251
96,13084828
97,13454680
98,12662952
99,13565869
100,11260029
101,11095096
102,11058343
103,10983619
104,11245306
105,11150137
106,11229052
107,11234749
108,11001149
109,11253304
110,11296283
111,11256349
112,11270979
113,11086846
114,11102012
115,11302830
116,11171630
117,11081151
118,11104537
119,11408120
120,11197415
121,11258442
122,10434981
123,10999268
124,11344020
125,11256412
126,11440379
127,11693159
128,10745573
129,11397820
130,11506112
131,11343856
132,11748322
133,11148700
134,11313213
135,11513546
136,11265255
137,11490030
138,10899907
139,11232845
140,11335132
141,11230205
142,11241605
143,11315789
144,11347396
145,11591504
146,11112180
147,11322683
148,10911984
149,11274186
150,11477590
151,11534382
152,11067623
153,10910590
154,11225113
155,11373349
156,11535749
157,11703336
158,10639333
159,11752147
160,11282009
161,11256497
162,11419455
163,10717041
164,11342043
165,11512298
166,11298437
167,10728020
168,11193166
169,11338158
170,11283448
171,11325560
172,11243473
173,11002486
174,11062592
175,11575737
176,10631912
177,11233730
178,10584232
179,11353293
180,10879466
181,11310006
182,11282808
183,10982665
184,11202959
185,11340414
186,10800865
187,11277085
188,10892980
189,11245724
190,11262568
191,11294686
192,11272384
193,10860377
194,11318671
195,11177843
196,11193509
197,11262458
198,10597977
199,11300304
200,11198005
201,11303876
202,10471336
203,11432088
204,11281274
205,10453933
206,11293683
207,10181182
208,11200994
209,11596643
210,11546213
211,11535174
212,10632045
213,10754184
214,11373021
215,11255590
216,11148955
217,11441923
218,11120544
219,11403023
220,11369368
221,11884115
222,11277146
223,10928822
224,11389388
225,10914853
226,11167551
227,11124906
228,11008240
229,11317405
230,11175770
231,11209094
232,11148851
233,10865545
234,11340181
235,11254771
236,11580507
237,11257386
238,11066687
239,11554951
240,11636784
241,11539888
242,11588112
243,11151917
244,11198948
245,11334150
246,11270254
247,11351013
248,11078029
249,11324437
250,11301016
251,11423155
252,11200495
253,11177934
254,11547475
255,10975387
256,11367594
257,10681310
258,10872090
259,11522618
260,11280481
261,11401309
262,11086497
263,10740038
264,11169954
265,11274286
266,11166788
267,11260244
268,10687230
269,11109050
270,11295490
271,10562257
272,11242105
273,10744648
274,11135083
275,11196545
276,11096243
277,11441878
278,11367373
279,11105114
280,11322989
281,11287822
282,11149103
283,10825541
284,11172470
285,11149086
286,11062784
287,10678972
288,10682203
289,11133585
290,11156853
291,11151094
292,11166186
293,11151747
294,11171900
295,11144623
296,11215058
297,11340112
298,10994485
299,11318921
300,11146274
301,11239993
302,11273376
303,10896143
304,11216119
305,11211004
306,11475700
307,11636069
308,11035729
309,11061222
310,10887728
311,10381800
312,11015558
313,10508941
314,11329262
315,10717042
316,10291161
317,10510500
318,10806258
319,11256822
320,11388750
321,11254856
322,11196528
323,11081811
324,11333258
325,11161734
326,11099734
327,11383460
328,10891074
329,11231251
330,10403396
331,11232589
332,11254119
333,10901782
334,11272426
335,10818441
336,11113890
337,11277998
338,11021514
339,11171261
340,11300375
341,11364077
342,11245632
343,10825481
344,11240199
345,10501262
346,11433284
347,11182466
348,10678855
349,11240746
350,10585977
351,11215739
352,11182121
353,10857929
354,10434525
355,11324624
356,11165547
357,11524391
358,11125829
359,11307674
360,10550654
361,11258302
362,11386557
363,10909372
364,11311781
365,11400315
366,11141873
367,10536754
368,10728657
369,11358056
370,10517835
371,11347746
372,11314311
373,10764925
374,11194420
375,11252740
376,11056014
377,11192273
378,9928018
379,11507416
380,11106661
381,10682857
382,11008656
383,10721225
384,11155131
385,11140842
386,11023581
387,10924200
388,10972458
389,11013682
390,11212547
391,11307678
392,11628634
393,10911182
394,11594450
395,11173030
396,11075754
397,11250080
398,10892872
399,11157951
400,11284524
401,11608363
402,11653199
403,10973590
404,11601140
405,11707055
406,11182119
407,11339283
408,10891711
409,11470325
410,11584676
411,11303344
412,11353110
413,10956663
414,11480927
415,11662146
416,11195473
417,11289922
418,10959595
419,11343883
420,11248017
421,11564179
422,11325126
423,10947934
424,11231760
425,11395235
426,10991188
427,11603819
428,10912045
429,11462136
430,11093920
431,11343304
432,11137082
433,10941048
434,11596098
435,11471520
436,11189079
437,11280909
438,10797232
439,11551641
440,11144665
441,11367938
442,11081242
443,11114149
444,11433634
445,11120414
446,11471460
447,11263862
448,10906991
449,11332420
450,11328586
451,11564919
452,11206103
453,10888366
454,11375817
455,11175965
456,11322898
457,11296774
458,10553852
459,11267597
460,11240659
461,11229125
462,11255647
463,10834813
464,11133244
465,11206540
466,11456576
467,11593337
468,11142826
469,11193221
470,11620799
471,11195996
472,11598316
473,10901368
474,11228111
475,11228739
476,11193428
477,11441897
478,10729698
479,11603907
480,11608800
481,11670771
482,11608474
483,10903742
484,11002797
485,11360117
486,11395618
487,11440912
488,10987111
489,11344327
490,11257790
491,11262058
492,11408217
493,10950328
494,10293986
495,11598396
496,11636206
497,11611207
498,11061149
499,11319288
500,11361889
501,11417121
502,11378708
503,11134224
504,11357940
505,11350956
506,11372947
507,11288470
508,11084387
509,11280474
510,11377839
511,11390246
512,11584982
513,10980129
514,11456833
515,11192521
516,11345678
517,11535777
518,11117849
519,11352939
520,11669232
521,11314899
522,11259801
523,10936402
524,11246890
525,11240092
526,11330414
527,10606447
528,11188188
529,11353752
530,11466060
531,11569403
532,11463605
533,11107610
534,11615656
535,11717030
536,11265078
537,11297930
538,11188302
539,11569501
540,11813694
541,11557479
542,11423963
543,10912090
544,11315020
545,11171428
546,11769780
547,11223680
548,11077390
549,11292801
550,11027162
551,11139541
552,11179968
553,10891387
554,11479360
555,11176286
556,11217782
557,11449382
558,10969399
559,11094992
560,11364497
561,11322851
562,11441354
563,10886098
564,11597107
565,11233048
566,11573791
567,10569581
568,10945333
569,10460055
570,11351937
571,11564122
572,11311007
573,10699132
574,11169395
575,11272931
576,11261697
577,11563927
578,11106976
579,11234633
580,11177530
581,11077404
582,11150475
583,11134381
584,11122172
585,11336868
586,11387396
587,11545246
588,11105717
589,11396415
590,11139301
591,11100388
592,11280149
593,11114330
594,11679569
595,11445852
596,11687365
597,11421573
598,10975260
599,11523670
600,10447042
601,11249000
602,11251584
603,10918286
604,11266821
605,11272768
606,11280483
607,11609669
608,11034854
609,11357240
610,11625873
611,11202654
612,10422074
613,10939026
614,11360753
615,10740629
616,10418216
617,11078897
618,11098385
619,10358812
620,11195093
621,11143945
622,10959013
623,10954457
624,11316827
625,11164636
626,11043387
627,11109230
628,10759060
629,11078481
630,11122256
631,11263248
632,11142023
633,10827244
634,11109088
635,11202553
636,11287042
637,10374807
638,11299381
639,11166212
640,11127986
641,11039473
642,11106121
643,10819692
644,11592908
645,11583767
646,11178354
647,11249372
648,10716157
649,11143433
650,10249408
651,11057664
652,10368529
653,10091357
654,11111373
655,10205437
656,10566263
657,11273804
658,10262300
659,11254627
660,10496557
661,11313821
662,10633602
663,10312315
664,11270631
665,11235474
666,11066227
667,10734757
668,10574823
669,10774785
670,10759339
671,10470122
672,10982505
673,10954103
674,10351727
675,11293048
676,11255955
677,11158994
678,10707145
679,11234992
680,10273234
681,10524631
682,11284600
683,10662188
684,11232551
685,11180476
686,11454549
687,11101576
688,11041264
689,10758321
690,10982064
691,11442609
692,10946487
693,10492921
694,11094117
695,11438089
696,10417641
697,11406532
698,10212062
699,11145930
700,11238391
701,11095893
702,11146560
703,10904214
704,12247192
705,13156791
706,12326619
707,12327692
708,11949157
709,12295579
710,13048563
711,13515255
712,12860806
713,13685453
714,12266878
715,12952034
716,12611318
717,13506313
718,12072959
719,13291835
720,12275328
721,11364229
722,11293043
723,10928502
724,11513129
725,11267861
726,11203369
727,11274222
728,10958669
729,11213719
730,11396236
731,11029441
732,11251238
733,11014700
734,11034054
735,11201396
736,10578672
737,10955902
738,10737422
739,11239131
740,11152134
741,11245572
742,11309408
743,11043568
744,11137063
745,11462734
746,10757362
747,11196681
748,11050652
749,11285970
750,11640689
751,11239595
752,11082011
753,10726291
754,11189103
755,11109365
756,10789538
757,11577645
758,10987679
759,11486799
760,11229058
761,11460509
762,11036016
763,10999987
764,11279971
765,10950116
766,11412737
767,11130242
768,10989060
769,11243555
770,11225360
771,11192391
772,11239173
773,10907865
774,11509760
775,11213867
776,10476728
777,11270785
778,11188764
779,11274551
780,11350509
781,11246712
782,11263952
783,11192896
784,11352214
785,11250968
786,10617733
787,11125315
788,11211642
789,11092873
790,11211043
791,11502035
792,11280584
793,11169890
794,11099621
795,11070818
796,10474090
797,11245391
798,11054755
799,11420502
800,11252966
801,11040770
802,11301872
803,11072341
804,11412197
805,11279678
806,11359208
807,11370304
808,10974316
809,11267053
810,11327451
811,11303426
812,11418657
813,11006945
814,11270238
815,11248265
816,10406367
817,11415482
818,10989755
819,11323695
820,11393170
821,11372608
822,11385865
823,11095133
824,11214640
825,11247124
826,10167630
827,11085997
828,10973716
829,11225598
830,11541084
831,11398015
832,10984998
833,11090492
