seq,rtt_m2h_ns
79,10462000
80,10325000
81,10746000
82,10469000
83,10391000
84,10972000
85,11095000
86,11523000
87,11104000
88,10639000
89,10701000
90,11071000
91,11402000
92,10963000
93,10449000
94,11156000
95,12247000
96,12248000
97,10746000
98,11462000
99,10967000
100,11054000
101,11120000
102,10779000
103,10782000
104,10652000
105,10724000
106,11025000
107,11142000
108,10890000
109,10820000
110,10828000
111,10673000
112,10683000
113,11113000
114,10907000
115,10984000
116,10919000
117,10716000
118,10641000
119,10728000
120,10732000
121,10741000
122,10594000
123,10329000
124,10959000
125,10758000
126,10762000
127,10988000
128,10552000
129,10720000
130,10932000
131,10791000
132,11146000
133,11015000
134,10807000
135,10668000
136,10820000
137,10696000
138,10676000
139,10775000
140,10622000
141,10513000
142,10632000
143,10646000
144,10720000
145,10670000
146,10650000
147,10606000
148,10737000
149,10695000
150,10614000
151,10492000
152,10682000
153,10716000
154,10779000
155,10857000
156,11471000
157,10947000
158,11549000
159,11577000
160,10815000
161,10970000
162,10890000
163,10970000
164,10963000
165,10994000
166,10982000
167,10787000
168,10703000
169,10596000
170,10732000
171,10807000
172,10732000
173,10332000
174,10886000
175,10615000
176,10539000
177,10609000
178,10696000
179,10775000
180,10919000
181,10853000
182,10640000
183,10803000
184,10732000
185,10458000
186,11145000
187,10951000
188,10832000
189,10836000
190,10840000
191,11189000
192,11196000
193,10923000
194,11261000
195,11486000
196,11148000
197,11075000
198,10592000
199,10951000
200,10602000
201,11177000
202,10850000
203,11374000
204,11533000
205,11108000
206,10870000
207,10857000
208,11221000
209,10874000
210,10963000
211,10874000
212,10882000
213,10874000
214,10985000
215,10832000
216,10844000
217,10841000
218,10860000
219,10923000
220,12243000
221,11003000
222,11508000
223,12235000
224,11024000
225,10811000
226,11458000
227,11026000
228,12239000
229,10980000
230,10998000
231,10844000
232,10853000
233,10563000
234,10870000
235,10661000
236,10527000
237,10815000
238,10613000
239,10967000
240,10974000
241,10832000
242,10503000
243,10079000
244,10783000
245,10581000
246,10656000
247,11551000
248,11024000
249,10456000
250,10466000
251,10596000
252,10675000
253,10611000
254,10613000
255,10549000
256,10848000
257,11255000
258,10626000
259,10787000
260,10645000
261,10591000
262,10737000
263,11359000
264,10675000
265,11575000
266,11113000
267,10911000
268,10915000
269,10640000
270,10791000
271,12240000
272,10853000
273,10658000
274,10861000
275,10815000
276,10947000
277,10970000
278,10970000
279,10630000
280,10549000
281,11331000
282,10720000
283,10520000
284,10435000
285,11492000
286,12235000
287,12256000
288,11578000
289,11313000
290,10894000
291,10694000
292,10758000
293,12239000
294,10836000
295,11555000
296,11399000
297,12235000
298,10932000
299,10955000
300,12231000
301,11214000
302,13371000
303,12244000
304,12235000
305,10970000
306,11181000
307,12307000
308,12231000
309,12243000
310,12231000
311,11150000
312,12235000
313,11156000
314,11573000
315,11512000
316,11310000
317,12306000
318,11515000
319,11462000
320,12231000
321,11474000
322,12306000
323,12315000
324,11411000
325,11216000
326,11221000
327,12259000
328,11428000
329,11189000
330,12243000
331,11319000
332,10686000
333,11118000
334,11254000
335,11405000
336,11465000
337,11130000
338,11079000
339,11015000
340,11240000
341,11348000
342,11315000
343,11247000
344,11256000
345,11111000
346,11188000
347,11251000
348,11341000
349,11411000
350,11420000
351,11418000
352,11307000
353,11359000
354,11315000
355,11579000
356,11325000
357,11532000
358,11402000
359,11119000
360,12319000
361,12235000
362,12295000
363,11272000
364,11359000
365,11359000
366,12243000
367,11361000
368,11251000
369,11319000
370,11123000
371,11184000
372,12240000
373,11253000
374,13387000
375,11075000
376,12236000
377,11071000
378,11091000
379,11029000
380,12240000
381,11314000
382,12239000
383,11323000
384,11251000
385,11329000
386,11261000
387,11400000
388,11336000
389,11407000
390,11216000
391,11157000
392,11243000
393,10890000
394,10828000
395,11236000
396,11109000
397,11046000
398,12231000
399,11054000
400,12239000
401,11129000
402,11556000
