seq,rtt_m2h_ns
38,101314000
39,13567000
40,13575000
41,14568000
42,14658000
43,13575000
44,14579000
45,13563000
46,13583000
47,14563000
48,14588000
49,13564000
50,13575000
51,14584000
52,13654000
53,13575000
54,13584000
55,13564000
56,14563000
57,14576000
58,14571000
59,13552000
60,13584000
61,13662000
62,14587000
63,13573000
64,14571000
65,14571000
66,14588000
67,14571000
68,13571000
69,13563000
70,13571000
71,14579000
72,14654000
73,14544000
74,14579000
75,14559000
76,13575000
77,14563000
78,14575000
79,14560000
80,13571000
81,14571000
82,14650000
83,14575000
84,14575000
85,13575000
86,13579000
87,14559000
88,14580000
89,13560000
90,13567000
91,13580000
92,14650000
93,14566000
94,14592000
95,13563000
96,14575000
97,13577000
98,13578000
99,13571000
100,13576000
101,14567000
102,13658000
103,13584000
104,13574000
105,13572000
106,13588000
107,13567000
108,13583000
109,13567000
110,13579000
111,14571000
112,14654000
113,13571000
114,13579000
115,13567000
116,13575000
117,14567000
118,14579000
119,13564000
120,14579000
121,13559000
122,14658000
123,13572000
124,14587000
125,14571000
126,13591000
127,14579000
128,13583000
129,13567000
130,13579000
131,14584000
132,13662000
133,13567000
134,13580000
135,12908000
136,13575000
137,14584000
138,13572000
139,13556000
140,14580000
141,14568000
142,14662000
143,13576000
144,13579000
145,13567000
146,13580000
147,14564000
148,14579000
149,13575000
150,13574000
151,14571000
152,14666000
153,13650000
154,14650000
155,14563000
156,13571000
157,14559000
158,13579000
159,13555000
160,13575000
161,14563000
162,13574000
163,13567000
164,14662000
165,14571000
166,13579000
167,13556000
168,14580000
169,13567000
170,13575000
171,13568000
172,13662000
173,13563000
174,13596000
175,13567000
176,13578000
177,14560000
178,14578000
179,13576000
180,14600000
181,13571000
182,14662000
183,13580000
184,14579000
185,13572000
186,14604000
187,13576000
188,13587000
189,14564000
190,13571000
191,14571000
192,14658000
193,13570000
194,13579000
195,13576000
196,13575000
197,13575000
198,13670000
199,13579000
200,13587000
201,13563000
202,13670000
203,13571000
204,13603000
205,13567000
206,13567000
207,14555000
208,13587000
209,14571000
210,13579000
211,13580000
212,13658000
213,13563000
214,13592000
215,13571000
216,13571000
217,13568000
218,13579000
219,13560000
220,13596000
221,13580000
222,13566000
223,13584000
224,13575000
225,13567000
226,14598000
227,13564000
228,13670000
229,13580000
230,13578000
231,13579000
232,13591000
233,13567000
234,13579000
235,15578000
236,15581000
237,15565000
238,15573000
239,14559000
240,15585000
241,15573000
242,15569000
243,15582000
244,15577000
245,15581000
246,15569000
247,15556000
248,15569000
249,15561000
250,15577000
251,15561000
252,15557000
253,15553000
254,15565000
255,15557000
256,15561000
257,15552000
258,15561000
259,15659000
260,15573000
261,15565000
262,15565000
263,15569000
264,15577000
265,15558000
266,15577000
267,15565000
268,15577000
269,15569000
270,15570000
271,15557000
272,15573000
273,15573000
274,15573000
275,15566000
276,15577000
277,15553000
278,15557000
279,15553000
280,15574000
281,15549000
282,15557000
283,13604000
284,13552000
285,13564000
286,13559000
287,13559000
288,13552000
289,13560000
290,13560000
291,13564000
292,14587000
293,13552000
294,13551000
295,13572000
296,13555000
297,14560000
298,13543000
299,13567000
300,13557000
301,13559000
302,12899000
303,13555000
304,13559000
305,13568000
306,13556000
307,13566000
308,13547000
309,13563000
310,13568000
311,13563000
312,13551000
313,13552000
314,13550000
315,13564000
316,13556000
317,13564000
318,13572000
319,13568000
320,13566000
321,13584000
322,13654000
323,13567000
324,13580000
325,13578000
326,13562000
327,13588000
328,13579000
329,13572000
330,13576000
331,13572000
332,14631000
333,13576000
334,13563000
335,13560000
336,13572000
337,13575000
338,13567000
339,13576000
340,13568000
341,13579000
342,14642000
343,13575000
344,13572000
345,13571000
346,13567000
347,13567000
348,13572000
349,13575000
350,13576000
351,14567000
352,13642000
353,13560000
354,13571000
355,13579000
356,13567000
357,13579000
358,13571000
359,13560000
360,13571000
361,13572000
362,13654000
363,13583000
364,13572000
365,13571000
366,13571000
367,13584000
368,13564000
369,13571000
370,13576000
371,13583000
372,13650000
373,13600000
374,13570000
375,13563000
376,13568000
377,13571000
378,13552000
379,13552000
380,13560000
381,13571000
382,13574000
383,13654000
384,13575000
385,13575000
386,13559000
387,13575000
388,13567000
389,13572000
390,13575000
391,13571000
392,14650000
393,13567000
394,13572000
395,13571000
396,13567000
397,13571000
398,13583000
399,13568000
400,13559000
401,13584000
402,13658000
403,13586000
404,13588000
405,13579000
406,13567000
407,13584000
408,13575000
409,13650000
410,13659000
411,13579000
412,13570000
413,13588000
414,13574000
415,13575000
416,13580000
417,13576000
418,13579000
419,13571000
420,13563000
421,13575000
422,13646000
423,13571000
424,13566000
425,13576000
426,13567000
427,13575000
428,13566000
429,13571000
430,13575000
431,13570000
432,13642000
433,13587000
434,13563000
435,13575000
436,13571000
437,13587000
438,13572000
439,13567000
440,13563000
441,13580000
442,13650000
443,13583000
444,13583000
445,13575000
446,13563000
447,13581000
448,13571000
449,13575000
450,13580000
451,13591000
452,13570000
453,13580000
454,13574000
455,13576000
456,13574000
457,13571000
458,13575000
459,13575000
460,13575000
461,13584000
462,13658000
463,13583000
464,13567000
465,13575000
466,13563000
467,13575000
468,13575000
469,13579000
470,13555000
471,13571000
472,13646000
473,13575000
474,13566000
475,13572000
476,13560000
477,13666000
478,13588000
479,13576000
480,13559000
481,13592000
482,13650000
483,13579000
484,13580000
485,13579000
486,13575000
487,13588000
488,13567000
489,13559000
490,13588000
491,13582000
492,13654000
493,13592000
494,13583000
495,13568000
496,12575000
497,13567000
498,13579000
499,13579000
500,13579000
501,13587000
502,13583000
503,13575000
504,13579000
505,13587000
506,13575000
507,13583000
508,13583000
509,13582000
510,13583000
511,13579000
512,13576000
513,13571000
514,13571000
515,13592000
516,13592000
517,13571000
518,11924000
519,13571000
520,13575000
521,13588000
522,13571000
523,13572000
524,13572000
525,13576000
526,13583000
527,13581000
528,13567000
529,12571000
530,13596000
531,13595000
532,13583000
533,13588000
534,13571000
535,13653000
536,13575000
537,13563000
538,13583000
539,13575000
540,13564000
541,13579000
542,13567000
543,13571000
544,13571000
545,13567000
546,13564000
547,13583000
548,13571000
549,13575000
550,13575000
551,13567000
552,13646000
553,13579000
554,13567000
555,13583000
556,13571000
557,13576000
558,13588000
559,13567000
560,13563000
561,13588000
562,13646000
563,13579000
564,13576000
565,13572000
566,13560000
567,13585000
568,13579000
569,13579000
570,13584000
571,13579000
572,13650000
573,13588000
574,13560000
575,13564000
576,13564000
577,13575000
578,13570000
579,13571000
580,13571000
581,13583000
582,13650000
583,13564000
584,13575000
585,13572000
586,13571000
587,13576000
588,13588000
589,13580000
590,13579000
591,13564000
592,13650000
593,13587000
594,13575000
595,13588000
596,13575000
597,13575000
598,13588000
599,13580000
600,13571000
601,13592000
602,13646000
603,13567000
604,13580000
605,13583000
606,13579000
607,13592000
608,13567000
609,13579000
610,13580000
611,13575000
612,13646000
613,13588000
614,13571000
615,13575000
616,13567000
617,13567000
618,13571000
619,13578000
620,13571000
621,13662000
622,13654000
623,14654000
624,13642000
625,13654000
626,13654000
627,13654000
628,13646000
629,13662000
630,13654000
631,13575000
632,13646000
633,13576000
634,13572000
